cod;nome;período;valor
52;GO;2017;110
43;RS;2018;102
11;RO;2018;16
12;AC;2018;13
13;AM;2018;64
14;RR;2018;17
15;PA;2018;132
16;AP;2018;6
17;TO;2018;18
21;MA;2018;41
22;PI;2018;21
23;CE;2018;251
24;RN;2018;43
25;PB;2018;34
26;PE;2018;101
27;AL;2018;25
28;SE;2018;10
29;BA;2018;185
31;MG;2018;129
32;ES;2018;41
33;RJ;2018;150
35;SP;2018;139
41;PR;2018;76
42;SC;2018;37
50;MS;2018;25
51;MT;2018;30
52;GO;2018;88
53;DF;2018;13
11;RO;2019;14
51;MT;2019;30
50;MS;2019;17
43;RS;2019;87
42;SC;2019;46
41;PR;2019;68
35;SP;2019;122
33;RJ;2019;77
32;ES;2019;31
31;MG;2019;97
29;BA;2019;183
28;SE;2019;19
27;AL;2019;39
53;DF;2019;18
26;PE;2019;91
25;PB;2019;21
24;RN;2019;41
23;CE;2019;106
22;PI;2019;17
21;MA;2019;47
17;TO;2019;13
16;AP;2019;9
15;PA;2019;100
52;GO;2019;57
14;RR;2019;11
13;AM;2019;56
12;AC;2019;11
